Código,Descripción
32101514-002,Amplificador de señal digital
32101514-003,Amplificador de sonido
32101515-001,Atenuador Optico
32101519-001,Equipo detector de efecto corona
32101519-002,Detector termovelocimetrico
32101519-003,Detector de tormenta
32101519-9999,Kit de Contramedidas Electronicas
32101520-001,Simulador de carga radiocomunicacion
32101522-001,Aislador de porcelana
32101522-002,Aislador de frecuencia
32101522-003,Aislador polimerico
32101523-001,Combinador de entrada
32101525-001,Multiplexor 
32101526-001,Preamplificador de RF
32101528-001,Moluladores 
32101601-001,Memoria RAM de 2 GB
32101601-002,Memoria RAM 512MB
32101601-003,Memoria RAM de 256 Mb
32101601-004,Memoria RAM 64MB
32101601-005,Memoria RAM de 128MB
32101601-006,Memoria RAM de 1 GB
32101601-999,Memoria RAM de 8GB
32101601-9999,Memoria RAM de 4 GB
32101613-001,Logica transistor-transistor (TTL)
32101617-001,Tarjeta de marcacion con chip
32101617-002,Tarjeta Inteligente - lector 
32101617-003,SIM CARD
32101617-004,Tarjetas para telefonos publicos a Microchip
32101620-001,Kit de repuesto para circuito integrado
32101620-002,Circuito intregrado para redes
32101620-9999,Lazo Inductivo
32101621-001,Memoria SDRAM
32101625-001,Circuito integrado para estufa
32101628-001,Kit de Desarrollo para Microcontralores
32101628-002,Microcontrolador
32101628-003,Sistema de desarrollo para microcontroladores
32101636-001,Procesador
32101699-998,Memoria DDR2 (Double Data Rate)
32101699-999,Memoria DDR (Double Data Rate)
32101699-9999,Memoria DDR3
32111502-001,Diodo Zener
32111511-001,Diodo
32111602-001,Transistor de efecto de campo (FET)
32111603-001,Transistor MOSFET
32111604-001,Transistor para radios
32111604-002,Transistor para monitor
32111608-001,Transistor Uniempalme
32111609-001,Transistores de alta potencia de base aislada
32111610-001,Transistor JFET
32111611-001,Transistores bipolares de union (BJT)
32111701-001,Fotocelula
32111701-002,Reactor  con base para fotocélula
32111701-003,Lampara fotocelula
32111702-001,Tiristores
32111704-001,Triac de salida
32111706-001,Cristal para radios
32121502-001,Capacitor
32121502-002,Capacitor de 2
32121504-001,Banco de capacitores para correcion de factor de potencia
32121602-001,Resistores
32121603-001,Varistores
32121609-001,Resistencia de pelicula metalica
32121701-001,Rectificador de 48 VCC 
32121701-002,Rectificador de 110 VCC 
32121701-003,Equipo rectificador/cargador
32121701-004,Rectificador de 12 VCC
32121701-005,Unidad de control y comando para rectificador
32121701-999,Repuestos para Rectificadores
32121705-001,Inversor vehicular
32131002-001,Display Anodo
32131002-002,Display Catodo
32131006-001,Zocalo de circuito integrado
32131007-001,Tablero para armar Circuitos - ProtoBoard
32131008-001,Pasta para disipador termico de procesador
32131010-9999,Tarjeta / Placa de circuito impreso
32131012-001,Descargador Electrónico
32131012-002,Placa central controlador
32131012-003,Placa interface
32131012-004,Placa fuente
32131012-005,Placa salida
32131012-006,Conexion electrica 
32131012-007,Predeteerminador electronico
32131012-008,Modulo Electronico para detector de mezcla explosiva
32131012-009,Dispositivo electronico transponder
32131012-9998,Tarjeta electronica de desarrollo de proyectos
32131012-9999,Cerebro / Computador Electronico para Motocicleta
32141106-001,Base de fotocelula
32141107-001,Zocalo para fluorescente circular
32141107-002,Zocalo para tubo largo
32141107-003,Zocalo para foco dicroica
32141107-004,Zocalo universal
32141107-005,Zocalo para luz halogena
32141107-006,Zocalo de chapa
32141107-007,Zocalo con portarrancador incorporado
32141107-008,Zocalo aereo para tubo fluorescente
39101601-001,Foco comun
39101601-002,Foco económico
39101601-003,Foco reflector o tipo spots
39101601-004,Foco globo
39101601-005,Foco vela
39101601-006,Foco parpadeo
39101601-007,Foco bala/torpedo
39101601-008,Foco Llama
39101601-009,Foco tubular
39101601-010,Foco para ventilador
39101601-011,Foquito para linterna
39101601-012,Foco yodo cuarzo
39101601-013,Foco dicroicas
39101601-014,Foco esmerilado
39101601-015,Foco luz mixta
39101601-016,Focos de cuarzo
39101601-017,Tubo luz halogena
39101601-018,Foco para semaforo
39101601-019,Lampara halogena
39101601-020,Lampara dicroica halospat
39101601-021,Foco de vapor mercurio
39101601-022,Foquitos navidenos
39101602-001,Lampara quirurgica de techo
39101602-002,Lampara cialitica con satelite
39101602-003,Lampara scialiticas de pie
39101602-004,Lampara halogena rodable
39101602-005,Lampara para espectrofotometro
39101602-006,Lampara Xenon para endoscopia
39101602-007,Lampara Halogena 
39101602-008,Lampara de Exploracion
39101602-009,Foco halogeno
39101602-9989,Lampara quirurgica de luz fria
39101602-9990,Reflector para Lampara Medica
39101602-9991,Lente para Lampara Medica
39101602-9992,Anillo para Lampara Medica
39101602-9993,Brazo para Lampara Medica
39101602-9994,Tornillo para Lampara Medica
39101602-9995,Cobertor para Lampara Medica
39101602-9996,Freno para Lampara Medica
39101602-9997,Tapa para Lampara Medica
39101602-9998,Faja para Lampara Medica
39101602-9999,Mango para Lampara medica
39101604-001,Lamparas a alcohol
39101605-001,Tubo Fluorescente
39101606-999,Lampara de arco de pie
39101612-001,Lampara incandescente
39101612-002,Lampara reflector
39101612-003,Lampara luz cielitica
39101612-004,Lampara Piloto Miniatura
39101613-001,Lampara infrarroja
39101615-001,Lampara o foco luz mixta 
39101615-002,Lampara de vapor de mercurio
39101615-003,Lampara de vapor metalico halogenado
39101615-004,Reactor para lampara de vapor metalico
39101615-999,Proyector para Lampara de vapor
39101616-001,Lampara reveladora
39101616-002,Lampara Ultravioleta
39101617-001,Lampara vapor de sodio
39101618-001,Lamparas de neon
39101701-001,Lampara fluorescente
39111501-001,Artefactos porta fluorescentes
39111501-002,Arrancador para fluorescente
39111501-003,Reactancia para equipo fluorescente
39111501-004,Porta arrancador
39111501-005,Condensador para fluorescente
39111501-006,Union para fluorescente
39111501-007,Zocalo para fluorescente
39111501-008,Reactancia electronica
39111501-009,Equipo Completo de Fluorescente
39111501-010,Equipo de Alumbrado Publico
39111504-001,Gelatinas para colorear la iluminacion escenografica
39111506-001,Luminaria externa tipo farol
39111509-9999,Lampara de pie
39111510-001,Lampara para escritorio
39111514-001,Manguera hilo luz
39111514-9999,Luces guirnaldas
39111517-001,Velas de Cera
39111518-999,Lampara portatil
39111521-001,Plafon
39111521-002,Corona luminosa de metal
39111521-9999,Corona Luminica para sepelio
39111603-001,Artefacto para alumbrado publico
39111702-001,Linterna portatil
39111706-001,Equipo de luz de emergencia
39111802-001,Cobertor de foco o lampara
39111803-001,Portalampara
39111803-002,Portafoco
39111803-9999,Aplique con Jabalina
39111810-001,Interruptor fotoelectrico para alumbrado publico
39111812-001,Llave de luz con punto y toma
39111812-999,Llave de luz con punto
39111902-001,Tiras de Leds
39121001-001,Autotransformador de potencia trifásico
39121001-002,Transformador de potencia monofásico
39121001-003,Transformador de potencia trifásico
39121001-004,Transformador adaptador de corriente
39121001-005,Transformador de corriente intemperie
39121001-006,Transformador de corriente interior
39121001-007,Transformador de intensidad de intemperie
39121001-008,Transformador electronico para dicroica
39121001-009,Transformador de intensidad para interior
39121001-010,Cordon para transformador
39121001-011,Componente de transformador
39121001-012,Junta de goma
39121001-013,Pertiga
39121001-014,Soporte para transformador
39121001-015,Autotransformador de potencia monofasico
39121001-9996,Interfase de conexion entre bornes y codos
39121001-9997,Conexion de interface
39121001-9998,Transformadores Electrico para Luz Halogena
39121001-9999,Puesto de Operacion Trisfasico
39121002-001,Transformador de potencial de linea
39121002-002,Transformador de distribucion monofasico
39121002-003,Transformador de distribucion trifasico
39121002-004,transformador potencial interior
39121002-005,Valvula de metal de tres vias
39121002-006,Sensor de presion para control de transformador
39121002-007,Filtro de aceite aislante para transormador
39121002-008,Transductor de temperatura a corriente
39121002-009,Valvula de control
39121002-010,Sensor de temperatura
39121002-011,Transformador zigzag
39121002-012,Detectores de Fallas en MT
39121002-9999,Sondas de Medicion a Distancia
39121004-001,UPS DE 1 KVA
39121004-002,UPS DE 6 KVA
39121004-003,UPS DE 20 KVA
39121004-004,UPS DE 80 KVA
39121004-005,UPS de 650 VA 
39121004-006,UPS 2500VA 
39121004-007,UPS de 2400 VA
39121004-008,UPS DE 250 kVA
39121004-009,UPS DE 160 kVA
39121004-010,UPS DE 100 kVA
39121004-011,UPS DE 50 kVA
39121004-012,UPS de 750 VA
39121004-013,UPS DE 500 vatios
39121004-014,UPS DE 10 kVA
39121004-015,UPS de 700 VA 
39121004-016,UPS de 3 kVA
39121004-017,UPS DE 15 kVA
39121004-018,Ups de 1500 VA
39121004-019,UPS de 2 KVA
39121004-020,UPS de 600 VA
39121004-021,UPS 5 KVA
39121004-022,UPS de 40 KVA
39121004-023,UPS de 400 VA
39121004-024,UPS DE 800 VA
39121004-025,UPS de 30 KVA
39121004-026,UPS de 3 KVA
39121004-027,Condensador
39121004-028,Fusible
39121004-029,Tarjeta de Control
39121004-030,Tarjeta de entrada/salida
39121004-031,Tarjeta de bypass
39121004-992,UPS 900 VA
39121004-993,UPS 3000 VA
39121004-994,UPS 1250 VA
39121004-995,UPS de 1000 VA
39121004-996,UPS de 1200 VA
39121004-997,UPS de 550 VA
39121004-998,UPS de 2200 VA
39121004-999,UPS de 60 KVA
39121004-9996,UPS DE 96 KVA
39121004-9997,Carro de carga de computadores portatiles
39121004-9998,Ups de 120 Kva
39121004-9999,UPS 4 KVA
39121006-001,Inversor de frecuencia para motores electrico 
39121007-001,Conversor
39121008-001,Conversor analogico digital
39121009-001,Regulador automatico de tension
39121009-002,Estabilizador de potencia
39121009-003,Regulador  electronico de factor de potencia para energia reactiva
39121010-001,Bobina de bloqueo
39121011-001,Kit de fuente de alimentacion
39121011-002,Fuente de poder
39121011-003,Fuente de alimentacion electrica
39121011-004,Fuente de alimentacion variable
39121011-005,Fuente de alimentacion digital
39121011-999,Subestacion movil
39121013-001,Convertidor de Señal
39121014-001,Banco de Condensadores
39121015-001,Reactor
39121015-002,Reactor externo vapor mercurio s/ base
39121016-001,Anillos numerados 
39121017-999,Puesto de distribucion (cubiculo)
39121020-999,Compensador de energia reactiva
39121102-001,Medidor de aislacion electrica
39121102-002,Memoria masa para  medidor electronico
39121102-003,Medidor portatil de relacion de transformacion 
39121102-004,Medidor de resistencia de aislacion 
39121102-005,Medidor de punto de rocio
39121102-006,Medidor multiparametrico
39121103-001,Panel de control de corriente alterna
39121103-002,Panel de control de corriente continua
39121103-003,Riel para tablero
39121104-001,Equipo de sincronizacion
39121105-001,Sistema de conmutadores
39121106-001,Sistema de supervision y control
39121107-001,Modulo de luminotecnia
39121107-9999,Placa Controladora para Semaforo
39121108-001,Menbrana de botones de panel de control del Generador 
39121108-002,Tablero Principal
39121108-9999,Tablero de arranque para Generador
39121205-001,Canaleta plastica 
39121205-002,Canaleta TP 
39121205-003,Organizador metalico de cable
39121205-004,Esquinero
39121205-005,Extremos
39121205-006,Rinconero
39121205-007,Porta bastidor universal
39121205-008,Union
39121205-9999,Canaleta metalica para cable
39121207-001,Cano de plastico 
39121207-002,Ducto de acero 
39121302-001,Tapa ciega cuadrada
39121302-002,Tapa ciega para llave
39121302-003,Tapa ciega redonda
39121302-004,Tapa ciega rectangular
39121302-999,Tapa para llave electrica con elemento
39121303-001,Caja tablero electrico 
39121303-002,Estructura Metalica Electrico
39121305-001,Cabezal para semaforo
39121305-002,Optica para cabezales de postes semaforicos
39121308-001,Caja de llave plastica externa 
39121308-999,Llave de embutir
39121308-9999,Caja de llave de embutir
39121309-001,Caja terminal
39121309-002,Caja para Medidores
39121309-003,Caja Derivación Autoportante 
39121309-004,Caja de empalme
39121309-999,Cajas de distribucion de acometidas
39121309-9999,Cajas para transformador/generador
39121311-001,Tirabornera para cable
39121311-002,Ficha RJ22
39121311-003,Capucha para ficha RJ 45
39121311-004,Ficha RJ 45
39121311-005,Ficha RJ11
39121311-006,Ficha RJ 9
39121311-007,Contactor 24 volts
39121311-008,Capuchón aislante hermético p/ media tension
39121311-009,Capucha para ficha RJ11
39121311-010,Capucha para ficha RJ9
39121311-011,Acople prolongador RJ45
39121311-012,Carbon Electrico
39121402-001,Enchufe triple
39121402-002,Supresor de pico con prolongador
39121402-003,Enchufe espiral de sujecion
39121402-004,Ficha  macho
39121402-005,Ficha  hembra
39121402-006,Toma corriente
39121402-007,Prolongador
39121402-008,Pico para toma
39121402-009,Pico para llave
39121402-010,Ficha adaptadora
39121402-011,Toma externa para RJ 45 
39121402-012,Toma para computadora
39121402-013,Ficha para telefono
39121402-014,Toma externo RJ-11
39121402-9999,Toma externa trifasica
39121403-001,Entrada de tension
39121403-002,Entrada de potencia activa
39121403-003,Entrada de potencia reactiva
39121404-001,Manguito de empalme
39121405-001,Terminal a compresion para cable CU
39121405-002,Terminal para cable de CU
39121405-003,Terminal a compres. para cable aluminio CU 
39121405-004,Terminal para cable
39121405-005,Terminal tipo Pino
39121405-006,Terminal tipo ojal
39121405-007,Terminal tipo horquilla
39121405-008,Mufa terminal exterior para cable CU
39121405-009,Mufa terminal interior para cable CU
39121405-010,Terminal a compresion para cable AL
39121405-011,Mufas Terminales
39121405-012,Terminal para bateria
39121405-013,Terminal de cobre
39121406-001,Receptaculo para lllave de control fotoelectrico
39121407-001,Regleta de conexiones
39121407-002,Soporte de regleta
39121409-001,Conector a compresion 
39121409-002,Conector a dientes 
39121409-003,Conector AL/CU
39121409-004,Conector tipo cuña
39121409-005,Conector paralelo
39121409-006,Conector T
39121409-007,Conector para ensamblado de cables
39121409-008,Conector Recto
39121409-009,Conector para aislador de pedestal 
39121409-010,Bornera
39121409-011,Bornera fusible
39121409-012,Bornera de prueba de corriente
39121409-013,Modulo conector 
39121409-014,Conector para cables multipares
39121409-015,Conector para cables de acometida
39121409-016,Codo conector no operable bajo carga
39121409-999,Codo conector operable bajo carga
39121409-9999,Conector multiple
39121414-001,Conector coaxial 
39121425-001,Bornes de bateria
39121428-001,Bobina para contactor
39121428-9999,Bobina para Calibracion de Pinza Amperometrica
39121429-001,Conector doble para Jack RJ 45
39121429-002,Enlaces de fibra optica
39121429-003,Conector de Fibra Optica
39121432-001,Terminal conductos electricos
39121436-001,Electrodo
39121436-002,Guia electrodo
39121436-003,Placa fondo de electrodo
39121436-004,Junta de fondo de electrodo
39121436-005,Conexion electrodo
39121436-006,Vastago de fijacion electrodo movil
39121501-001,Interruptor automatico
39121501-002,Interruptor de proteccion
39121502-001,Sistema Dimmer
39121503-001,Conmutador de tambor
39121503-002,Conmutador para interruptor
39121503-003,Conmutador para seccionador
39121503-004,Conmutador para amperimetro
39121503-005,Conmutador para voltimetro
39121503-006,Conmutador de sincronismo
39121503-007,Conmutador de inclusion-exclusion
39121503-008,Conmutador telemando-local
39121503-009,Conmutador de transferencia de protecciones
39121503-010,Conmutador para variador de taps
39121503-011,Conmutador de mando para ventiladores
39121503-012,Conmutador para Transformador
39121504-001,Interruptor horario
39121505-001,Interruptor de potencia trifásico
39121505-002,Interruptor de potencia monofásico
39121505-003,Componente de interruptor
39121508-967,Juego de Resortes de Blindaje para Conmutador
39121508-968,Flexible para contacto de llave de carga del conmutador
39121508-969,Cordon para llave de carga del conmutador
39121508-970,Juego de Piezas para llave de carga del Conmutador
39121508-971,Juego de Placas de aislacion para Conmutador
39121508-972,Acoplamiento de marcha continua
39121508-973,Juego de Piezas para la Transmisión del Conmutador
39121508-974,Eje articulado para Conmutador
39121508-975,Membrana para Conmutador
39121508-976,Lamina de Potencial para Conmutador
39121508-977,Tapa de mirilla para Conmutador
39121508-978,Palanca para Conmutador
39121508-979,Rodillo para Conmutador
39121508-980,Placas para Conmutador
39121508-981,Tuercas para Conmutador
39121508-982,Soporte para Conmutador
39121508-983,Contactos para Conmutador
39121508-984,Cables Flexibles para Conmutador
39121508-985,Bulon para Conmutador
39121508-986,Bucha para Conmutador
39121508-987,Zapata para Conmutador
39121508-988,Abrazadera para Conmutador
39121508-989,Muelle de tope para Conmutador
39121508-990,Resorte para Conmutador
39121508-991,Anillo para Conmutador
39121508-992,Chaveta para Conmutador
39121508-993,Arandela para Conmutador
39121508-994,Tornillo para Conmutador
39121508-995,Espina para Conmutador
39121508-996,Espiga de Seguridad para Conmutador
39121508-997,Junta para Conmutador
39121508-998,Encaje para rele para Conmutador
39121508-999,Perfil de Goma para Conmutador
39121511-001,Unidades de Interruptor regulable 
39121512-001,Interruptor pulsador
39121512-002,Pulsador para tablero o panel
39121512-003,Pulsador de arranque
39121515-001,Relay
39121515-002,Placa de Salida de Relays
39121517-001,Mini reles
39121522-001,Contactos auxilares
39121522-002,Contacto para contactor
39121523-001,Reloj Honorario Programable
39121523-002,Controlador electronico
39121523-003,Temporizador
39121527-001,Codificador para identificacion de cables
39121528-001,Sensores fotoelectricos
39121528-999,Sensor capacitivo
39121529-001,Contactor tripolar
39121529-002,Contactor monofasico
39121529-003,Contactor trifasico
39121529-9999,Contactor Auxiliar
39121531-001,Interruptor de flotador
39121534-001,Indicador de Luz de tensión para tablero
39121535-001,Reles auxiliares
39121535-002,Reles de bloqueo de puerta
39121535-003,Rele falta de fase
39121535-004,Rele de frecuencia
39121535-005,Rele de distancia primaria
39121535-006,Rele de distancia secundaria
39121535-007,Rele principal de control y disparo
39121535-008,Rele de luz pulsante
39121535-009,Rele de distancia
39121535-010,Rele de recierre
39121535-011,Rele principal para transformador
39121535-012,Rele de sobrecorriente monofasico
39121535-013,Rele de sobrecorriente trifasico
39121535-014,Rele de minima y maxima tension
39121535-015,Rele de proteccion de linea
39121535-016,Rele protector para motocompresor
39121535-017,Rele de nivel
39121535-018,Rele termico 
39121535-019,Rele fotoelectrico
39121535-020,Rele voltimetro
39121535-021,Rele de diferencial
39121535-022,Rele de sobrecorriente y recierre
39121535-023,Rele de sincronismo
39121535-024,Rele Multifuncional
39121535-9999,Rele Monitor de Red Trifasica
39121536-001,Reles de interrupcion de fase
39121539-001,Llave de conmutador de dos posiciones
39121543-001,Placas con reles de mando para contactor 
39121546-001,Joystick
39121547-001,Equipo probador de reles
39121547-002,Equipo de prueba de alta tension
39121547-003,Porta Rele
39121549-001,Termostato
39121549-002,Pipa para termostato
39121551-001,Reflector
39121601-001,Disyuntor termomagnetico monofasico
39121601-002,Disyuntor termomagnetico tripolar
39121601-003,Disyuntor limitador
39121601-004,Disyuntor diferencial
39121602-001,Interruptor termomagnetico unipolar
39121602-002,Interruptor termomagnetico
39121602-003,Interruptor termomagnetico trifasico
39121602-004,Interruptor termomagnetico triple
39121602-005,Interruptor termomagnetico tripolar
39121602-006,Interruptor de dos puntos externo
39121602-007,Llave termomagnética trifasica
39121602-008,Llave termomagnetica unipolar
39121602-009,Llave termomagnetica
39121602-010,Llave termomagnetica bipolar
39121602-011,Llave termomagnetica tripolar
39121602-012,Llave termografica monofasica
39121602-013,Interruptor termomagnetico monofasico
39121602-014,Interruptor termomagnetico bipolar
39121602-015,Interruptor tripolar
39121602-016,Interruptor unipolar
39121602-9999,Llave de Transferencia Automatica
39121604-001,Fusible de retardo
39121604-002,Fusible tapon
39121604-003,Fusible encapsulado
39121604-004,Fusible de cristal
39121604-005,Fusible de clase
39121604-006,Fusible cerámica
39121604-007,Fusible tipo alabe
39121604-008,Fusible tipo botella
39121604-009,Fusible tipo diazed
39121604-010,Fusible electrico
39121604-011,Fusible tipo lira para baja tension
39121604-012,Fusible de plastico
39121605-001,Jabalina de cobre con abrazadera
39121605-002,Jabalina Cilindrica Cobreada
39121607-001,Sistema de Proteccion
39121607-002,Sistema de Proteccion
39121607-003,Sistema de Proteccion
39121607-004,Unidad integrada de control de subestacion
39121607-005,Sistema de Proteccion
39121607-006,Equipo de teleproteccion
39121607-007,Transformadores de medida
39121607-008,Jabalina de acero recubierta de cobre con prensa
39121607-009,Sistema Analizador de Energía para Redes
39121607-010,Gavanometro trapezoidal
39121613-001,Pararayos
39121613-002,Interpolar diferencial tetrapolar
39121617-001,Porta Fusible
39121617-002,Seccionador fusible
39121617-003,Seccionador fusible unip. intemp.
39121617-004,Elemento fusible p/ MT
39121617-005,Alambre calibrado
39121619-001,Aislador a disco de vidrio 
39121619-002,Aislador de anclaje polim.
39121619-003,Aislador de polietileno
39121619-004,Aislador de porcelana 
39121619-005,Aislador triple campana
39121619-006,Aislador tipo roldana 
39121619-007,Celda Comp. 
39121619-008,Descargador de sobre  tensión p/MT.
39121619-009,Descargadores de Baja Tensión
39121619-010,Seccionador tripolar
39121619-011,Seccionador unipolar
39121619-012,Celda MT
39121619-013,Seccionador fusible MT
39121619-014,Componente de reconectador de potencia
39121619-015,Reconectador
39121619-016,Componente de Seccionador
39121619-017,Componente de Descargador de tension
39121619-018,Componente de celda MT
39121619-9999,Seleccionalizador Electronico
39121701-001,Soporte para cable pre-ensamblado
39121701-002,Prensita para empalme
39121701-003,Carril para llave termomagnetica
39121701-998,Extensión para corredera de silleta
39121701-999,Silleta para poste línea viva
39121702-001,Cintillo para cable 
39121703-001,Enlace de cable
39121705-001,Grapas para cables
39121708-001,Alicate para cable 
39121708-002,Pinza RJ45
39121708-003,Alicante punta larga
39121708-004,Alicante de corte
39121708-005,Pinza transformada de corriente
39121708-006,Pinza RJ11 
39121708-007,Pinza RJ12
39121708-008,Pinza punta fina
39121708-009,Pinza pelacable
39121708-996,Prendedor para conductores electricos
39121708-997,Tijera para conductores electricos
39121708-998,Pinza mordaza para cable
39121708-999,Pinza RJ9
39121712-001,Armadura vertical 
39121712-002,Manguera flexible de Caucho para transformador 
39121715-001,Caño corrugado 
39121718-001,Kit de empalme contr. en frio para cable protegido de 185 mm2.                                                                                        
39121718-002,"Empalme de reparación para cable de guardia ""EHS 3/8"""
39121718-003,"Empalme de reparación para Cable de Guardia ACSR 159 MCM ""Guinea"""
39121718-004,"Empalme de reparación para conductor ""Grosbeak"" ACSR 636 MCM"
39121718-005,"Empalme de reparación para conductor ""Ostrich"" ACSR 300 MCM"
39121718-006,Empalme de reparación para conductor AAAC 795 MCM
39121718-007,Empalme de reparación para Conductor AASC 500 MCM
39121718-008,Empalme de reparación para conductor ACAR 950 MCM
39121718-009,Empalme para cable de guardia tipo Alumoweld 7/5 AWG
39121718-010,Empalme para Cable de Guardia tipo OPGW
39121718-011,Empalme terminal Cable de Guardia tipo OPGW - cable de F.O. tipo Armored 
39121718-012,Empalme para repuesto
39121718-013,Empalme de alimentadores 
39121718-014,Empalme para fibra optica
39121718-015,Tubo para empalme
39121718-016,Empalme Normal y/o de Aislamiento
39121718-017,Empalme Normal para repuestos
39121718-018,Empalme de Aislamiento para repuestos
39121718-019,Sistema de Puesta a Tierra
39121718-020,Accesorios para el empalme de cables subterraneos
39121718-021,Kit de empalme contr. en frio para cable preensamblado
39121718-022,Kit de empalme contr. en frio para cable subterráneo
39121718-9999,Empalme Recto Unipolar
39121719-001,Protector contra descarga atmosferica
39121721-001,Aislante tipo espagueti
39121721-002,Manta de goma aislante
39121721-003,Cobertor protector aislante
39121721-997,Manga aislante de goma
39121721-998,Cobertura aislante para conductor electrico
39121721-999,Cobertura aislante para poste
40101501-001,Extractor de aire
40101501-002,Extractor de aire eolico
40101501-999,Sistema Oxigenacion de Vinaza
40101602-9999,Actuador de compuerta
40101603-001,Impulsor para bomba  centrifuga horizontal
40101603-002,Impulsor para bomba centrifuga vertical
40101603-003,Impulsor para bomba centrifuga split case
40101603-004,Impulsores de tornillo y carcaza para bomba itur de tornillo
40101603-005,Impulsor de bronce fundido para bomba
40101604-001,Ventilador de techo
40101604-002,Ventilador de mesa
40101604-003,Ventilador de pie
40101604-004,Soporte para ventilador para viga
40101604-005,Llave selector de velocidad para ventilador
40101604-006,Condensador para ventilador
40101604-007,Ruleman para ventilador de techo
40101604-008,Capacitadores para ventiladores
40101604-009,Climatizador de ambiente
40101604-010,Ventilador de pared
40101604-011,Ventilador tipo turbo pie (Industrial)
40101701-001,Acondicionador de aire de ventana
40101701-002,Acondicionador de aire tipo split
40101701-003,Motoventilador para AA split
40101701-004,Motoventilador para AA de ventana
40101701-005,Turbina del motoventilador 
40101701-006,Reja de insuflamiento
40101701-007,Reja de retorno basculante
40101701-008,Ducto flexible
40101701-009,Valvula para AA
40101701-010,Llave de 1/2 vuelta 
40101701-011,Aire acondicionado tipo FANCOIL horizontal  
40101701-012,Termostato para acondicionador de aire
40101701-013,Filtro para acondicionador de aire
40101701-014,Manta para Filtro de acondicionador de aire
40101701-015,Plaqueta electronica para acondicionador de aire
40101701-016,Llave selectora frio/calor
40101701-017,Filtro soldable para aire acondicionado
40101701-018,Sensor para aire acondicionado
40101701-019,Punto de TC
40101701-020,Punto de TC comun
40101701-021,Punto de TC tipo chuco
40101701-022,Tubo flexible
40101701-023,Acondicionador de aire tipo central
40101701-024,Llave para acondicionador de aire
40101701-025,Cano de cobre para acondicionador de aire
40101701-026,Torre de enfriamiento
40101701-027,Tablero electromecanico para sistema de redundancia 
40101701-028,Equipo para Mantenimiento / Reparación de Acondicionador de aire
40101701-029,Codo de cobre
40101701-989,Aire acondicionado portatil
40101701-990,Aire acondicionado de precision
40101701-991,Enfriadora de agua del aire acondicionado central
40101701-992,Calefactor de carter
40101701-993,Rele de Proteccion
40101701-994,Helice del motoventilador
40101701-995,Contactor para acondicionador de aire
40101701-996,Bobina para acondicionador de aire
40101701-997,Filtro de linea deshidratador para acondicionador de aire
40101701-998,Acople para acondicionador de aire
40101701-999,Correa para acondicionador de aire
40101701-9998,Unidad de tratamiento de aire
40101701-9999,Manometro para Aires acondicionados
40101703-001,Radiador del Sistema de Refrigeracion
40101703-9999,Enfriadores de Agua
40101705-001,Capilar de cobre
40101706-001,Cortina de aire
40101707-001,Cabezal de tobera
40101707-002,Kit lanza spray
40101806-001,Bomba de calor
40101808-001,Resistencia para estufa
40101810-001,Serpentin para calefaccion de productos derivados de petroleo
40101812-001,Intercambiador de calor para torre estabilizadora
40101825-001,Calentador de agua
40101833-001,Controlador de llama para caldera
40101902-001,Deshumidificador de 220 v
40101903-001,Humidificador
40101903-002,Frasco Humidificador de Oxigeno 
40101903-003,Filtro Antibacteriano 
40102001-001,Junta de paso de mano
40102001-002,Junta de tapa posterior
40102001-003,Junta de tapa frontal
40102001-004,Junta hogar quemador
40102001-005,Junta paso de hombre
40102001-006,Junta amianto grafitado para paso de hombre
40102001-007,Junta plana para tapa posterior
40102001-008,Junta plana para tapa frontal
40102001-009,Transducer
40102001-010,Resistencia para calentador
40102001-011,Deflector de llama del quemador
40102001-999,Sistema de Refrigeracion de Caldera de fuego
40102003-001,Caldera Electrica
40102003-002,Bomba Centrifuga para Caldera Electrica
40102003-003,Resistencia para caldera electrica
40102003-004,Sistema de Refrigeración de Tableros de Calderas Eléctricas
40102003-9999,Interruptor / Control de nivel para Caldera electrica
40141603-001,Valvula electro-neumatica
40141604-001,Valvula tipo exclusa
40141604-998,Valvula reguladora de caudal
40141604-999,Valvula ventosa
40141605-001,Valvulas de solenoide
40141606-001,Valvula de descarga
40141606-002,Electro valvula
40141608-001,Valvula hidraulica
40141608-002,Valvula hidraulica tipo dique
40141610-001,Valvulas para Flotador
40141611-001,Valvula esferica
40141612-001,Valvula de expansion de gas
40141613-001,Válvulas para servicio vapor
40141616-001,Bobina para Valvula
40141617-001,Valvula robinete
40141617-9999,Valvula de asiento inclinado
40141618-001,Valvula de retencion
40141620-001,Valvula mariposa
40141625-001,Purgador de vapor
40141627-001,Orificio
40141702-001,Grifo o canilla
40141702-002,Llave de paso
40141702-003,Valvula para canilla
40141702-004,Mezclador agua fria/caliente
40141702-005,Campana para llave de paso
40141702-006,Pedal para canilla
40141702-9999,Vastago para Canilla
40141705-001,Caño acero inoxidable
40141705-002,Cano de plastico 
40141705-003,Cano de cobre
40141705-004,Cano de acero de carbono 
40141705-005,Cano galvanizado
40141705-006,Cano tee
40141705-007,Cano soldable
40141705-008,Cano de Hierro
40141705-009,Cano Roscable
40141705-010,Virolas de caño
40141705-011,Cano de PVC
40141705-999,Caño de goma
40141705-9999,Cano de poliester + fibra de vidrio
40141716-001,Sifon 
